name,rating,date_post,title,review
Benson,5,13 September 2020,Small enough to fit in a small handbag,"The media could not be loaded.                      This water proof speaker is perfect for small function when you don't have the space or electrical socket for speaker set up, we used it for some background music at a small reception and it worked perfectly with Bluetooth to my phone.Even at max volume there is little distortion but I would recommend turn it all the way to max when you hear ""beep beep"" then turn it back down by 4 clicks. That seems to be the sweet spot for this speaker at max volume. It is like Day and night compare to phone speakers, see my video next to my pictures for the comparison.I won't call this waterproof but more splash proof, there are open ports and sd card slots and the only thing stopping water going in is that plastic flap which does not have locking mechanism. I am sure it will be OK pool side with a bit of splash but I will not be dunking it in the water anytime soon.Had it playing continuously for 4 hours and battery indicator only gone down by less than half."
Canadrian,5,13 September 2020,Nice little unit,"I really like this little unit. It delivers a full and hefty sound, charges surprisingly quickly with a smart socket, and makes Bluetooth pairs really easily. It's good too that its controls give you a measure of remote control over source devices."
Andrew,5,11 September 2020,Great sound and quality,"This is a great speaker! The sound quality is really good, it gives a very clear and deep quality of sound. It is very tactile and really well made. My wife told me to turn it down and my teenager looked jealous, that says it all 😁"
Jeannette,5,8 September 2020,Wonderful!,Love it!
J,2,6 September 2020,Constant buzzing noise when connected,"When connected to my laptop or phone, there is always a slight buzzing noise which is pretty irritating."
Sduffbird,5,6 September 2020,Excellent for the price,Brilliant little speaker! Excellent battery life and decent sound. Great for using in the garden/outdoors etc...
kingsley busumunu,5,6 September 2020,Good,Easy to use and good sound quality
Mr R,5,5 September 2020,Solid Bluetooth Speaker.,"I bought this as a gift for my brother. Being a little cautious I gave it a quick test through music from my smartphone with a heavy rock track, jazz track, and an electronic mini mix track. I'm not an audio expert but I can say for myself I really liked how it sounded - had a clear ""even"" sound at default (it does have a bass mode which I didn't try as its not really my style). I didn't hear any distortions even at max volume (which can easily fill a room and probably loud enough to use outside with a group of people)."
Clare,5,5 September 2020,Excellent sound quality,Excellent product. Amazing value for money
Debbikinst,3,3 September 2020,"A review of seller, not product",The speaker had a buzzing noise and it seems its a common problem. The seller couldn't have been more helpful. They have developed the product which is available end Oct. In meantime have sent me a mini speaker to use. (Which is great!) I will update product review when I receive it.
Sam P,5,31 August 2020,Exactly as specified,Exactly as specified
Hollyluia,5,28 August 2020,Good buy.,Sturdy. Good sound. I like having control of the music without having to use my phone- especially in the shower.Good buy.
Karen,5,27 August 2020,Great little speaker,These are really loud and clear.Great!
Patrick Campbell,5,26 August 2020,Amazing sound quality for the price.,"I just needed a cheap bluetooth speaker for my son. I'm amazed at the sound quality this pumps out considering I paid so low a price. Bass and treble are on point and at full pelt, it's great. I didn't actually realise woofers were inbuilt until after I purchased and re-read the description. Being wireless, it's totally portable; play music wherever you fancy. Battery life is great. For me, a full charge lasted over a week and it's super easy to recharge using the supplied USB cable. A well built and sturdy speaker which is underpriced in my opinion. One of my better buys."
S. A,4,25 August 2020,Looking like used before has some demege marks,The product looks like used before and have marks like someone drop down the item but sounds its good
michael swales,5,24 August 2020,very good sound.,"This bluetooth speaker was exactly what I was looking for. It is small in size but with a very good sound quality. The unit also comes with a microSD slot to put your favourite songs onto, which is very useful. My one small criticism is that the buttons are hard to see in dim light, apart from that I am very happy with the unit & would recommend it."
Darren Greener,5,23 August 2020,nice,Good
Elizabeth,5,21 August 2020,"Bluetooth speaker, great value",Great value and easy to move around
Rob,4,19 August 2020,Handy speaker,Bought to use in garden plus when away on hols - handy quick Bluetooth connection plus good sound output with added bass option
Bob Rodgers,5,19 August 2020,New Speaker,Bought this speaker after my last one (Much smaller) was left outside for one night and never worked again. I bought this as it is shower proof! Looks great and the sound is really so much better than the smaller round one that I had. At about twice the cost as the other one it is well worth the extra.
Daniella Fyfe,5,17 August 2020,Great speaker,Wow this little speaker is great ! So easy to connect and clear at high volume. I used it in the garden and loved it. Great quality and price.
robin crowther,5,12 August 2020,BIG sound from such a small speaker,"Excellent sound & fantastic bass, I was surprised at the quality of the sound from this £25.00 speaker it punches well above its price tag, its almost a match for bose bluetooth speakers."
Bryan,5,10 August 2020,brilliant,Absolutely amazing Bluetooth speaker excellent sound and quality
PROS & CONS,5,8 August 2020,🔊 Small but mighty! This is a must have in any household!,"The media could not be loaded.                      Such a low-cost speaker with such great sound.I am loving it!First of all for copyright purposes, I’ve played Tones and I - Dance Monkey (official video)To show you not only the incredible sound but also the BASS on / BASS off function which is 🔊 Amazing!Pros-IPX 7 it can be submerged in up to 1m of water for 30 minutes without any issues-Rich Bass modeI hope the great difference can be appreciated in the video-A total of 14W drive speakers (2x 7W) Which brings incredible HD sound!-2200mAh batteryIt charges at 5V 1A / 5W standard charge, so I recommend you leave the speaker to charge over night.By the way the charging cable is included!The battery will last 10hours play time at full blast or 20hours at 50% volume.-Bluetooth 5.0 connectionEasy to connect (as seen on the video)Stable connection with great range-It can connect with multiple devices via Bluetooth.Simply connect one device, turn the Bluetooth on that device off, turn the speaker Off and back On and repeat the Bluetooth pairing.So far I’ve connected three devices without any issues.-It supports TF cardTake your downloaded music with you and simply press the M button.The speaker starts playing from the card instead than Bluetooth connection.This is without a doubt a little but mighty speaker which every household should have."
Melanie Hammond,5,6 August 2020,Awful crackling sound ( Edited) All sorted now,"Very disappointed in this product. I have only used it twice but the speaker keeps making a crackling sound, so had to take out my other bluetooth speaker and use that instead.... Awful product :-(Edited: Supplier got back to me and will be sending me a replacement. Great customer service - Hence changing the Review"
